Date_at_capture,Date_at_recapture,Sex_at_capture,Sex_at_recapture,Length_at_capture
5/22/2011,7/26/2011,F,F,283
5/23/2011,8/17/2011,F,F,299
5/23/2011,8/24/2011,F,F,288
5/25/2011,6/9/2012,F,F,292.1
6/3/2011,6/20/2011,F,F,356
6/3/2011,7/5/2012,F,F,308
6/9/2011,8/16/2011,F,F,285
6/9/2011,7/25/2011,F,F,284
6/9/2011,7/25/2011,F,F,327
6/15/2011,5/26/2012,F,F,307
6/22/2011,7/23/2011,F,F,311
6/23/2011,7/13/2011,F,F,281
6/23/2011,8/16/2011,F,F,302
6/23/2011,7/13/2011,F,F,330
6/23/2011,10/3/2011,F,F,296
6/23/2011,7/13/2011,F,F,304
7/13/2011,7/25/2011,F,F,315
7/13/2011,8/16/2011,F,F,340
7/25/2011,8/16/2011,F,F,295
7/25/2011,6/9/2012,F,F,281
7/25/2011,9/14/2011,F,F,302
7/25/2011,8/16/2011,F,F,293
7/26/2011,6/23/2012,F,F,300
8/16/2011,10/3/2011,F,F,312
8/24/2011,10/23/2011,F,F,292.1
8/24/2011,5/11/2012,F,F,349.25
9/15/2011,10/3/2011,F,F,305
9/15/2011,10/3/2011,F,F,310
5/11/2012,6/21/2012,F,F,281
5/11/2012,6/11/2012,F,F,360
5/11/2012,7/5/2012,F,F,350
5/11/2012,7/5/2012,F,F,358
5/11/2012,6/21/2012,F,F,277
5/11/2012,8/27/2012,F,F,290
5/23/2012,6/22/2012,F,F,289
5/23/2012,6/8/2012,F,F,321
5/23/2012,6/8/2012,F,F,278
5/23/2012,5/24/2012,F,F,347
5/23/2012,6/1/2012,F,F,335
5/23/2012,6/8/2012,F,F,308
5/23/2012,6/8/2012,F,F,302
5/23/2012,6/10/2012,F,F,298
5/23/2012,6/6/2012,F,F,357
5/23/2012,6/8/2012,F,F,275
5/23/2012,5/26/2012,F,F,340
5/23/2012,6/6/2012,F,F,304
5/23/2012,6/8/2012,F,F,265
5/23/2012,6/10/2012,F,F,282
5/23/2012,6/22/2012,F,F,279
5/23/2012,7/28/2013,F,F,275
5/23/2012,5/27/2012,F,F,308
5/23/2012,8/10/2012,F,F,275
5/23/2012,6/1/2012,F,F,271
5/23/2012,7/27/2012,F,F,344
5/23/2012,6/8/2012,F,F,322
5/23/2012,6/8/2012,F,F,311
5/23/2012,7/4/2013,F,F,289
5/23/2012,6/8/2012,F,F,271
5/23/2012,6/10/2012,F,F,271
5/23/2012,5/26/2012,F,F,324
5/23/2012,6/22/2012,F,F,282
5/23/2012,6/1/2012,F,F,321
5/23/2012,6/22/2012,F,F,270
5/23/2012,7/5/2012,F,F,340
5/23/2012,7/27/2012,F,F,295
6/1/2012,6/11/2012,F,F,341
6/1/2012,8/10/2012,F,F,282
6/1/2012,7/27/2012,F,F,305
6/8/2012,7/4/2013,F,F,290
6/8/2012,6/22/2012,F,F,275
6/8/2012,7/27/2012,F,F,307
6/8/2012,6/14/2013,F,F,273
6/8/2012,6/22/2012,F,F,297
6/8/2012,,F,F,309
5/23/2011,8/17/2011,F,F,305
8/24/2011,5/23/2012,F,F,285.75
5/23/2012,6/1/2012,F,F,286
5/23/2012,7/13/2012,F,F,277
5/11/2012,6/10/2012,F,F,290
5/23/2012,6/3/2012,F,F,382
5/23/2012,7/6/2012,F,F,365
5/31/2012,5/31/2013,F,F,273
6/1/2012,8/17/2012,F,F,290
6/3/2011,8/24/2011,F,F,294
6/9/2011,8/16/2011,F,F,295
5/23/2012,6/6/2012,F,F,303
5/23/2012,6/8/2012,F,F,282
5/23/2012,6/6/2012,F,F,298
5/23/2012,6/6/2012,F,F,305
5/23/2012,6/6/2012,F,F,309
5/11/2012,6/1/2012,F,F,337
6/3/2011,7/13/2012,F,Intersex,308
7/13/2011,8/24/2011,F,Intersex,325
7/26/2011,12/6/2011,F,Intersex,308
5/11/2012,10/5/2012,F,Intersex,273
5/23/2012,9/23/2012,F,Intersex,309
5/23/2012,7/13/2012,M,Intersex,314
5/23/2012,9/26/2012,F,Intersex,295
6/8/2012,10/9/2012,F,Intersex,299
5/22/2011,7/2/2011,F,Intersex,318
10/23/2011,,M,Intersex,340
5/21/2011,7/10/2011,M,M,441
5/21/2011,5/26/2011,M,M,387
5/22/2011,7/12/2011,M,M,392
5/23/2011,8/17/2011,M,M,323
5/26/2011,6/20/2011,M,M,289
5/28/2011,9/1/2011,M,M,398
5/28/2011,6/11/2012,M,M,400
5/31/2011,8/17/2011,M,M,308
5/31/2011,,M,M,374
6/3/2011,8/12/2011,M,M,333
6/3/2011,9/1/2011,M,M,447
6/3/2011,,M,M,390
6/3/2011,5/27/2012,M,M,287
6/9/2011,7/10/2011,M,M,330
6/9/2011,7/13/2011,M,M,409
6/9/2011,7/25/2011,M,M,348
6/9/2011,7/25/2011,M,M,336
6/9/2011,7/25/2011,M,M,360
6/9/2011,8/16/2011,M,M,296
6/9/2011,8/16/2011,M,M,351
6/9/2011,7/25/2011,M,M,327
6/9/2011,7/25/2011,M,M,339
6/9/2011,8/16/2011,M,M,315
6/15/2011,11/22/2011,M,M,340
6/15/2011,12/6/2011,F,M,340
6/23/2011,9/28/2013,M,M,327
6/23/2011,7/13/2011,M,M,323
6/23/2011,8/16/2011,M,M,320
6/23/2011,7/13/2011,M,M,298
6/23/2011,8/16/2011,M,M,318
6/23/2011,7/13/2011,M,M,291
6/23/2011,7/13/2011,M,M,332
6/23/2011,10/3/2011,M,M,346
6/23/2011,8/16/2011,M,M,352
6/23/2011,7/13/2011,M,M,320
7/13/2011,5/26/2012,F,M,335
7/13/2011,8/16/2011,M,M,405
7/25/2011,8/16/2011,M,M,330
7/25/2011,5/27/2013,M,M,302
7/26/2011,10/4/2011,M,M,364
8/24/2011,10/1/2011,F,M,317.5
8/24/2011,5/27/2012,F,M,342.9
8/24/2011,10/1/2011,M,M,342.9
9/15/2011,12/6/2011,M,M,351
9/15/2011,10/3/2011,M,M,359
9/15/2011,10/3/2011,M,M,281
10/3/2011,5/29/2012,M,M,351
10/23/2011,4/15/2013,M,M,291
10/23/2011,7/14/2012,M,M,394
10/23/2011,7/22/2012,M,M,435
10/23/2011,8/8/2012,M,M,309
5/11/2012,9/14/2012,M,M,303
5/11/2012,6/21/2012,M,M,310
5/11/2012,5/29/2012,M,M,410
5/11/2012,6/21/2012,M,M,299
5/11/2012,10/5/2012,M,M,405
5/11/2012,10/22/2012,M,M,360
5/11/2012,7/5/2012,M,M,427
5/23/2012,6/22/2012,M,M,415
5/23/2012,6/24/2012,M,M,409
5/23/2012,6/28/2012,M,M,388
5/23/2012,6/28/2012,M,M,313
5/23/2012,7/27/2012,M,M,362
5/23/2012,8/15/2012,M,M,298
5/23/2012,6/10/2012,M,M,308
5/23/2012,6/28/2012,M,M,313
5/23/2012,6/1/2012,M,M,369
5/23/2012,7/20/2012,M,M,329
5/23/2012,9/26/2012,M,M,278
5/23/2012,8/15/2012,M,M,533.4
5/31/2012,6/21/2012,M,M,299
6/1/2012,6/1/2013,M,M,323
6/1/2012,6/21/2012,M,M,311
6/1/2012,9/15/2012,M,M,289
5/23/2011,5/23/2012,F,M,290
5/31/2011,8/17/2011,M,M,292
6/9/2011,8/12/2012,F,M,307
6/15/2011,8/22/2012,M,M,370
6/23/2011,8/16/2011,M,M,308
8/24/2011,5/27/2012,M,M,330.2
5/11/2012,6/11/2012,M,M,341
5/11/2012,6/1/2012,M,M,328
5/11/2012,6/21/2012,M,M,301
5/11/2012,6/21/2012,M,M,313
5/11/2012,6/10/2012,M,M,404
5/11/2012,6/10/2012,M,M,410
5/23/2012,7/20/2012,M,M,279
5/23/2012,7/20/2013,M,M,422
5/31/2012,6/21/2012,M,M,284
5/31/2012,6/21/2012,M,M,302
5/31/2012,6/21/2012,M,M,309
6/8/2012,6/22/2012,M,M,330
5/28/2011,6/9/2011,M,M,318
6/20/2011,6/29/2011,M,M,387
6/23/2011,7/13/2011,M,M,311
6/23/2011,7/13/2011,M,M,326
5/23/2012,6/6/2012,M,M,303
7/25/2011,9/5/2011,M,M,359
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
